seed,p_open,alpha,cost_root_action,regret_root_action,root_action_disagree,behavior_disagree,behavior_disagreement_world_fraction,behavior_disagreement_prior_mass,cost_mean_cost,cost_mean_regret,cost_cvar95_regret,cost_worst_regret,cost_worst_cost,regret_mean_cost,regret_mean_regret,regret_cvar95_regret,regret_worst_regret,regret_worst_cost,delta_mean_cost_regret_minus_cost,delta_mean_regret_regret_minus_cost,delta_cvar95_regret_regret_minus_cost,delta_worst_regret_regret_minus_cost,delta_worst_cost_regret_minus_cost
4,0.3,0.5,g,g,0,0,0.0,0.0,30.0,24.18312904160996,26.732038056328857,26.732038056328857,30.0,30.0,24.18312904160996,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.3,0.75,g,g,0,0,0.0,0.0,30.0,24.18312904160996,26.732038056328857,26.732038056328857,30.0,30.0,24.18312904160996,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.3,0.9,g,g,0,0,0.0,0.0,30.0,24.18312904160996,26.732038056328857,26.732038056328857,30.0,30.0,24.18312904160996,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.5,0.25,u2,u2,0,0,0.0,0.0,12.333217347721108,8.648684431756296,31.00295709178295,31.00295709178295,34.27091903545409,12.333217347721108,8.648684431756296,31.00295709178295,31.00295709178295,34.27091903545409,0.0,0.0,0.0,0.0,0.0
4,0.5,0.5,g,g,0,0,0.0,0.0,30.0,26.315467084035188,26.732038056328857,26.732038056328857,30.0,30.0,26.315467084035188,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.5,0.75,g,g,0,0,0.0,0.0,30.0,26.315467084035188,26.732038056328857,26.732038056328857,30.0,30.0,26.315467084035188,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.5,0.9,g,g,0,0,0.0,0.0,30.0,26.315467084035188,26.732038056328857,26.732038056328857,30.0,30.0,26.315467084035188,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.7,0.25,u2,u2,0,0,0.0,0.0,6.892657132356164,3.5490271411783696,30.83833523215339,30.83833523215339,34.18459046037541,6.892657132356164,3.5490271411783696,30.83833523215339,30.83833523215339,34.18459046037541,0.0,0.0,0.0,0.0,0.0
4,0.7,0.5,u2,u2,0,0,0.0,0.0,7.3089054507976146,3.96527545961982,31.00295709178295,31.00295709178295,34.27091903545409,7.3089054507976146,3.96527545961982,31.00295709178295,31.00295709178295,34.27091903545409,0.0,0.0,0.0,0.0,0.0
4,0.7,0.75,g,g,0,0,0.0,0.0,30.0,26.656370008822204,26.732038056328857,26.732038056328857,30.0,30.0,26.656370008822204,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.7,0.9,g,g,0,0,0.0,0.0,30.0,26.656370008822204,26.732038056328857,26.732038056328857,30.0,30.0,26.656370008822204,26.732038056328857,26.732038056328857,30.0,0.0,0.0,0.0,0.0,0.0
4,0.9,0.25,u2,u0,1,1,1.0,1.0,4.018088186948211,0.737303860073048,9.890314538155625,30.83833523215339,34.18459046037541,3.9824529916089944,0.7016686647338313,10.33183135869145,30.83833523215339,34.18459046037541,-0.035635195339216885,-0.035635195339216774,0.4415168205358242,0.0,0.0
4,0.9,0.5,u2,u2,0,0,0.0,0.0,4.26251637928935,0.9817320524141872,9.452985282923063,31.00295709178295,34.27091903545409,4.26251637928935,0.9817320524141872,9.452985282923063,31.00295709178295,34.27091903545409,0.0,0.0,0.0,0.0,0.0
4,0.9,0.75,u2,u2,0,0,0.0,0.0,4.26251637928935,0.9817320524141872,9.452985282923063,31.00295709178295,34.27091903545409,4.26251637928935,0.9817320524141872,9.452985282923063,31.00295709178295,34.27091903545409,0.0,0.0,0.0,0.0,0.0
4,0.9,0.9,u6,u6,0,0,0.0,0.0,8.022215239936124,4.741430913060961,9.923603900750456,32.14288328305812,35.41084522672926,8.022215239936124,4.741430913060961,9.923603900750456,32.14288328305812,35.41084522672926,0.0,0.0,0.0,0.0,0.0
